,Huiao,Rereamanu,"465 SH 3, ?torohanga"
,Huiao,Te Kauae,"Mangarino Road, Hang?tiki"
,Kinohaku,Marokopa,Marokopa
,Kinohaku,Te Kauae,"Mangarino Road, Hang?tiki"
,Matakore,Kaputuhi,"Waitomo Caves Road, Hang?tiki"
,Pare te Kawa,Kaputuhi,"Waitomo Caves Road, Hang?tiki"
,Peehi,Kaputuhi,"Waitomo Caves Road, Hang?tiki"
,Peehi,Marokopa,Marokopa
,Peehi,Te Kauae,"Mangarino Road, Hang?tiki"
,Peehi,Te Korapatu,"102 Hangatiki East Road, Hang?tiki"
,R?r?,Kaputuhi,"Waitomo Caves Road, Hang?tiki"
,Ruapuha,Tokikapu,"Te Anga Road, Waitomo"
,Te Kanawa,Marokopa,Marokopa
,Te Kanawa,Rereamanu,"465 SH 3, ?torohanga"
,Te Kanawa,Te Kauae,"Mangarino Road, Hang?tiki"
03025001,Te Kanawa,Te Korapatu,"102 Hangatiki East Road, Hang?tiki"
03025002,Te Kanawa,Tokikapu,"Te Anga Road, Waitomo"
03025003,Uekaha,Pohatuiri,"Ng?tapuwae Road, Waitomo"
03025004,Uekaha,Tokikapu,"Te Anga Road, Waitomo"
03025005,Apakura,M?kau Kohunui,"Moa Street, Pio Pio"
03025006,Kinohaku,M?kau Kohunui,"Moa Street, Pio Pio"
03025007,Matakore,Napinapi,"Napinapi Road, Pio Pio"
03025008,Ng?ti R?kei,Maniaroa,"5183 SH 3, Awakino"
03025009,Ng?ti R?kei,Te Kawau Papakainga,"M?kau Road, M?kau"
03025010,Paemate,Te Paemate,"66 Ohura Road, ?ria"
03025011,Pare te Kawa,Napinapi,"Napinapi Road, Pio Pio"
03025012,R?r?,Te Kawau Papakainga,"M?kau Road, M?kau"
03025013,Rungaterangi,Maniaroa,"5183 SH 3, Awakino"
03025014,Rungaterangi,Te Kawau Papakainga,"M?kau Road, M?kau"
03025015,Te Rukirangi,Te Rukirangi Papakainga,?hura
03025016,Waiora,Maniaroa,"5183 SH 3, Awakino"
03025017,Waiora,M?kau Kohunui,"Moa Street, Pio Pio"
03025018,Apakura,Kahotea,"Kahotea Road, ?torohanga"
03025019,Apakura,P?rekireki,"Ormsby Road, Pirongia"
03025020,Hikairo,P?rekireki,"Ormsby Road, Pirongia"
03025021,Hinet?,Kahotea,"Kahotea Road, ?torohanga"
03025022,Hinewai,T?rew?nga,"Ouruwhero Road, ?torohanga"
03025023,Kahu,Kakepuku Papakainga,Te Mawhai
03025024,Kahu,Te K?pua,"213 Morgan Road, Pokuru"
03025025,M?kino,Kakepuku Papakainga,Te Mawhai
03025026,Matakore,Kahotea,"Kahotea Road, ?torohanga"
03025027,Matakore,Kakepuku Papakainga,Te Mawhai
03025028,Matakore,Otewa,"987 Otewa Road, ?torohanga"
03025029,Ng?ti Mahuta,Maket?,"614 Kaora Street, K?whia"
03025030,Ngutu,Kakepuku Papakainga,Te Mawhai
03025031,Ngutu,Mangatoatoa,"Te Mawhai Road, Te Awamutu"
03025032,Ngutu,Otewa,"987 Otewa Road, ?torohanga"
03025033,Ngutu,Te Keeti,"Phillips Avenue, ?torohanga"
03025034,Pare te Kawa,Kahotea,"Kahotea Road, ?torohanga"
03025035,Pare te Kawa,Mangatoatoa,"Te Mawhai Road, Te Awamutu"
03025036,Pare te Kawa,T?rew?nga,"Ouruwhero Road, ?torohanga"
03025037,Parewaeone,Mangatoatoa,"Te Mawhai Road, Te Awamutu"
03025038,Parewaeone,Otewa,"987 Otewa Road, ?torohanga"
03025039,Parewaeone,Te Keeti,"Phillips Avenue, ?torohanga"
03025040,Pourahi,Te Kotahitanga,"Otewa Road, ?torohanga"
03025041,Pourahui,H?ona,"151 Robertson Road, Puket?tara"
03025042,Pourahui,Turitea,"Honikiwi Road, ?torohanga"
03025043,Rereahu,Otewa,"987 Otewa Road, ?torohanga"
03025044,Rungaterangi,T?rew?nga,"Ouruwhero Road, ?torohanga"
03025045,Te Kanawa,Te Kotahitanga,"Otewa Road, ?torohanga"
03025046,Te Kanawa,Te Whakaaro Kotahi,"662 Te Kawa Road, Te Kawa"
03025047,Unu,Te K?pua,"213 Morgan Road, Pokuru"
03025048,Urunumia,Otewa,"987 Otewa Road, ?torohanga"
03025049,Urunumia,T?rew?nga,"Ouruwhero Road, ?torohanga"
03025050,Urunumia,Te Keeti,"Phillips Avenue, ?torohanga"
03025051,Urunumia,Te Kotahitanga,"Otewa Road, ?torohanga"
03025052,Waiora,Kakepuku Papakainga,Te Mawhai
03025053,Apakura,Maket?,"614 Kaora Street, K?whia"
03025054,Apakura,M?kai Kainga,"111 Aotea Road, K?whia"
03025055,Hikairo,?ruka,"?ruka Marae Road, Taharoa"
03025056,Hikairo,Maket?,"614 Kaora Street, K?whia"
03025057,Hikairo,M?kai Kainga,"111 Aotea Road, K?whia"
03025058,Hikairo,Te K?raha,"Taharoa Road, Taharoa"
03025059,Hikairo,Waipapa,"5491 SH 31, K?whia"
03025060,Kerapa,R?kaunui,"335 R?kaunui Road, Hauturu"
03025061,Ngati Kiriwai,Omokoroa,"199 Berntsen Road, Oparau, K?whia"
03025062,Ng?ti Mahuta,?ruka,"?ruka Marae Road, Taharoa"
03025063,Peehi,Te M?hoe,"Owhiro Road, K?whia"
03025064,Takiari,R?kaunui,"335 R?kaunui Road, Hauturu"
03025065,Te Kanawa,Te M?hoe,"Owhiro Road, K?whia"
03025066,Te Urupare,Te M?hoe,"Owhiro Road, K?whia"
03025067,Te Waha,R?kaunui,"335 R?kaunui Road, Hauturu"
03025068,Uekaha,Te M?hoe,"Owhiro Road, K?whia"
03025069,Matakore,Mangapeehi,"2769 SH 30, Mangapeehi"
03025070,Matakore,Te Hape,"1038 SH 30, Pureora"
03025071,Ngutu,Mangapeehi,"2769 SH 30, Mangapeehi"
03025072,Ngutu,Te Hape,"1038 SH 30, Pureora"
03025073,Pare,Mangapeehi,"2769 SH 30, Mangapeehi"
03025074,Pare,Te Hape,"1038 SH 30, Pureora"
03025075,Pare Raukawa,Mangapeehi,"2769 SH 30, Mangapeehi"
03025076,Pare Raukawa,Te Hape,"1038 SH 30, Pureora"
03025077,Rereahu,Mangapeehi,"2769 SH 30, Mangapeehi"
03025078,Rereahu,Te Hape,"1038 SH 30, Pureora"
03025079,Rereahu,Te Miringa te Kakara,"SH 30, Pureora"
03025080,Te Ihingarangi,Mangapeehi,"2769 SH 30, Mangapeehi"
03025081,Te Ihingarangi,Te Hape,"1038 SH 30, Pureora"
03025082,Te Ihingarangi,Waimiha,"1736 Service Road, Waimiha"
03025083,Apakura,Mangarama,"534 SH 3, Te Mapara"
03025084,Apakura,T?ne Hopuwai,"560 SH3, Te K?iti"
03025085,Apakura,Tomotuki,"366 Mangatea Road, Te K?iti"
03025086,Kinohaku,M?t?t?,"468 Mangatea Road, Te K?iti"
03025087,Kinohaku,Te Waipatoto,"376 Oparure Road, Oparure"
03025088,Pare,Te Ahoroa,"703 Rangitoto Road, Te K?iti"
03025089,Parekaitini,Tomotuki,"366 Mangatea Road, Te K?iti"
03025090,Peehi,Te Kumi,"Te Kumi Road, Te K?iti"
03025091,Putaitemuri,M?t?t?,"468 Mangatea Road, Te K?iti"
03025092,Rereahu,Te Ahoroa,"703 Rangitoto Road, Te K?iti"
03025093,R?r?,Te Kumi,"Te Kumi Road, Te K?iti"
03025094,R?r?,Te Piruru Papakainga,"Waitete Road, Te K?iti"
03025095,R?r?,Te Tokanganui a Noho,"Awakino Road, Te K?iti"
03025096,R?r?,Tomotuki,"366 Mangatea Road, Te K?iti"
03025097,Tauhunu,M?t?t?,"468 Mangatea Road, Te K?iti"
03025098,Hari,Hia Kaitupeka,"Kaitupeka Road, Taringamotu"
03025099,Hinemihi,Petania,"Ngakaunui Road, Taumarunui"
03025100,Hinemihi,Waip?,Taumarunui
03025101,Hinemihi,Wharauroa,"184 Taupo Road, Taumarunui"
03025102,Mangu,T? Whenua,Taumarunui
03025103,Pahere,Te K?ura,"SH 4, Te K?ura"
03025104,Pahere,Wharauroa,"184 Taupo Road, Taumarunui"
03025105,Parewaeone,Petania,"Ngakaunui Road, Taumarunui"
03025106,Raerae,Te Rongaroa,"Burgess Road, ?ngarue"
03025107,Rangatahi,Wharauroa,"184 Taupo Road, Taumarunui"
03025108,Rewa,T? Whenua,Taumarunui
03025109,R?r?,Petania,"Ngakaunui Road, Taumarunui"
03025110,R?r?,Te Rongaroa,"Burgess Road, ?ngarue"
03025111,Te Kanawa,Hia Kaitupeka,"Kaitupeka Road, Taringamotu"
03025112,Tupu,T? Whenua,Taumarunui
